strategy,fraction_mal,magnitude,frac_fit,frac_eval,min_fit_clients,min_eval_clients,min_available_clients,num_clients,num_malicious,attack,iid,dataset_name,confusion_matrix,warmup_rounds,round,accuracy,loss
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,17,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,18,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,19,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,20,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,21,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,22,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,23,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,24,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,25,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,26,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,27,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,28,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,29,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,30,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,31,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,32,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,33,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,34,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,35,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,36,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,37,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,38,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,39,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,40,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,41,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,42,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,43,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,44,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,45,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,46,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,47,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,48,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,49,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,50,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,51,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,52,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,53,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,54,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,55,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,56,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,57,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,58,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,59,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,60,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,61,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,62,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,63,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,64,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,65,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,66,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,67,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,68,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,69,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,70,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,71,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,72,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,73,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,74,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,75,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,76,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,77,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,78,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,79,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,80,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,81,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,82,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,83,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,84,0.7202868852459017,0.64676794849164
avg,0,0,1,0,10,0,10,1,0,no attack,True,income,"[[0, 0], [0, 0]]",1,0,0.7202868852459017,0.6931471805599453
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,1,0.7202868852459017,0.604511782804272
